id,barang_kode,barang_nama,barang_stok,barang_satuan,barang_lokasi,created_at,updated_at
,B0096,Refill Boardmarker Snowman Blue,0,pcs,Gudang ATK,,
,B0097,Refill Boardmarker Snowman Green,0,pcs,Gudang ATK,,
,B0098,Refill Boardmarker Snowman Red,0,pcs,Gudang ATK,,
,B0099,Refill marker Snowman Black,0,pcs,Gudang ATK,,
,B0100,Refill marker Snowman Blue,0,pcs,Gudang ATK,,
,B0101,Refill marker Snowman Red,0,pcs,Gudang ATK,,
,B0102,Refill bolpen gel Pentel black,0,pcs,Gudang ATK,,
,B0103,Refill Pilot G1 Black 0.7,0,pcs,Gudang ATK,,
,B0104,Refill Pilot Wingel Black 0.7,0,pcs,Gudang ATK,,
,B0105,Spidol 12 OHP,0,pcs,Gudang ATK,,
,B0106,Spidol 12 Warna,0,pcs,Gudang ATK,,
,B0107,Spidol snowman kecil Black,0,pcs,Gudang ATK,,
,B0108,Spidol snowman kecil Blue,0,pcs,Gudang ATK,,
,B0109,Spidol snowman kecil Red,0,pcs,Gudang ATK,,
,B0110,Stabillo,0,pcs,Gudang ATK,,
,B0111,Stapler Besar HD50,0,pcs,Gudang ATK,,
,B0112,Stapler Kecil HD10,0,pcs,Gudang ATK,,
,B0113,Stoffmap Buffalo,0,pcs,Gudang ATK,,
,B0114,Stoffmap Djago Folio ,0,pcs,Gudang ATK,,
,B0115,Tinta Risograph,0,pcs,Gudang ATK,,
,B0116,Tinta Stempel Trodath,0,pcs,Gudang ATK,,
,B0117,Tinta Stempel Yamura,0,pcs,Gudang ATK,,
,B0118,Tip-Ex,0,pcs,Gudang ATK,,
,B0119,Kertas Stiker,0,pcs,Gudang ATK,,
,B0120,Penggaris Besi,0,pcs,Gudang ATK,,
,B0121,Lem Alteco,0,pcs,Gudang ATK,,
,B0122,Spidol Permanen Black,0,pcs,Gudang ATK,,
,B0123,Spidol Permanen Blue,0,pcs,Gudang ATK,,
,B0124,Spidol Permanen Green,0,pcs,Gudang ATK,,
,B0125,Spidol Permanen Red,0,pcs,Gudang ATK,,
,B0126,Stapler tembak,0,pcs,Gudang ATK,,
,B0127,Tali rafia isi 1/2 kg,0,pcs,Gudang ATK,,
,B0128,Kertas kraft/sampul coklat,0,pcs,Gudang ATK,,
,B0129,Karet gelang pentil (isi 1/2 kg),0,pcs,Gudang ATK,,
,B0130,Map binder plastik acco,0,pcs,Gudang ATK,,
,B0131,Isi Staples 1213,0,pcs,Gudang ATK,,
,B0132,karton all warna,0,pcs,Gudang ATK,,
,B0133,tissue,0,pcs,Gudang ATK,,
,B0134,kertas foto,0,pcs,Gudang ATK,,
,B0135,Plakband bening 1 inch,0,pcs,Gudang ATK,,
,B0136,"Isolasi Panfix 0,5'",0,pcs,Gudang ATK,,
